date,federalState,schoolVacation,population
2020-08-23,Hamburg,0,1892122
2020-08-23,Hessen,0,6391360
2020-08-23,Mecklenburg-Vorpommern,0,1628378
2020-08-23,Niedersachsen,5,8140242
2020-08-23,Nordrhein-Westfalen,0,18139116
2020-08-23,Rheinland-Pfalz,0,4158150
2020-08-23,Saarland,0,992666
2020-08-23,Sachsen,5,4086152
2020-08-23,Sachsen-Anhalt,5,2186643
2020-08-23,Schleswig-Holstein,0,2953270
2020-08-23,Thüringen,5,2126836
2020-08-30,Baden-Württemberg,5,11280257
2020-08-30,Bayern,5,13369393
2020-08-30,Berlin,0,3755251
2020-08-30,Brandenburg,0,2573135
2020-08-30,Bremen,3,684864
2020-08-30,Hamburg,0,1892122
2020-08-30,Hessen,0,6391360
2020-08-30,Mecklenburg-Vorpommern,0,1628378
2020-08-30,Niedersachsen,3,8140242
2020-08-30,Nordrhein-Westfalen,0,18139116
2020-08-30,Rheinland-Pfalz,0,4158150
2020-08-30,Saarland,0,992666
2020-08-30,Sachsen,5,4086152
2020-08-30,Sachsen-Anhalt,3,2186643
2020-08-30,Schleswig-Holstein,0,2953270
2020-08-30,Thüringen,5,2126836
2020-09-06,Baden-Württemberg,5,11280257
2020-09-06,Bayern,5,13369393
2020-09-06,Berlin,0,3755251
2020-09-06,Brandenburg,0,2573135
2020-09-06,Bremen,0,684864
2020-09-06,Hamburg,0,1892122
2020-09-06,Hessen,0,6391360
2020-09-06,Mecklenburg-Vorpommern,0,1628378
2020-09-06,Niedersachsen,0,8140242
2020-09-06,Nordrhein-Westfalen,0,18139116
2020-09-06,Rheinland-Pfalz,0,4158150
2020-09-06,Saarland,0,992666
2020-09-06,Sachsen,0,4086152
2020-09-06,Sachsen-Anhalt,0,2186643
2020-09-06,Schleswig-Holstein,0,2953270
2020-09-06,Thüringen,0,2126836
2020-09-13,Baden-Württemberg,5,11280257
2020-09-13,Bayern,1,13369393
2020-09-13,Berlin,0,3755251
2020-09-13,Brandenburg,0,2573135
2020-09-13,Bremen,0,684864
2020-09-13,Hamburg,0,1892122
2020-09-13,Hessen,0,6391360
2020-09-13,Mecklenburg-Vorpommern,0,1628378
2020-09-13,Niedersachsen,0,8140242
2020-09-13,Nordrhein-Westfalen,0,18139116
2020-09-13,Rheinland-Pfalz,0,4158150
2020-09-13,Saarland,0,992666
2020-09-13,Sachsen,0,4086152
2020-09-13,Sachsen-Anhalt,0,2186643
2020-09-13,Schleswig-Holstein,0,2953270
2020-09-13,Thüringen,0,2126836
2020-09-20,Baden-Württemberg,0,11280257
2020-09-20,Bayern,0,13369393
2020-09-20,Berlin,0,3755251
2020-09-20,Brandenburg,0,2573135
2020-09-20,Bremen,0,684864
2020-09-20,Hamburg,0,1892122
2020-09-20,Hessen,0,6391360
2020-09-20,Mecklenburg-Vorpommern,0,1628378
2020-09-20,Niedersachsen,0,8140242
2020-09-20,Nordrhein-Westfalen,0,18139116
2020-09-20,Rheinland-Pfalz,0,4158150
2020-09-20,Saarland,0,992666
2020-09-20,Sachsen,0,4086152
2020-09-20,Sachsen-Anhalt,0,2186643
2020-09-20,Schleswig-Holstein,0,2953270
2020-09-20,Thüringen,0,2126836
2020-09-27,Baden-Württemberg,0,11280257
2020-09-27,Bayern,0,13369393
2020-09-27,Berlin,0,3755251
2020-09-27,Brandenburg,0,2573135
2020-09-27,Bremen,0,684864
2020-09-27,Hamburg,0,1892122
2020-09-27,Hessen,0,6391360
2020-09-27,Mecklenburg-Vorpommern,0,1628378
2020-09-27,Niedersachsen,0,8140242
2020-09-27,Nordrhein-Westfalen,0,18139116
2020-09-27,Rheinland-Pfalz,0,4158150
2020-09-27,Saarland,0,992666
2020-09-27,Sachsen,0,4086152
2020-09-27,Sachsen-Anhalt,0,2186643
2020-09-27,Schleswig-Holstein,0,2953270
2020-09-27,Thüringen,0,2126836
2020-10-04,Baden-Württemberg,0,11280257
2020-10-04,Bayern,0,13369393
2020-10-04,Berlin,0,3755251
2020-10-04,Brandenburg,0,2573135
2020-10-04,Bremen,0,684864
2020-10-04,Hamburg,0,1892122
2020-10-04,Hessen,0,6391360
2020-10-04,Mecklenburg-Vorpommern,0,1628378
2020-10-04,Niedersachsen,0,8140242
2020-10-04,Nordrhein-Westfalen,0,18139116
2020-10-04,Rheinland-Pfalz,0,4158150
2020-10-04,Saarland,0,992666
2020-10-04,Sachsen,0,4086152
2020-10-04,Sachsen-Anhalt,0,2186643
2020-10-04,Schleswig-Holstein,0,2953270
2020-10-04,Thüringen,0,2126836
2020-10-11,Baden-Württemberg,0,11280257
2020-10-11,Bayern,0,13369393
2020-10-11,Berlin,0,3755251
2020-10-11,Brandenburg,0,2573135
2020-10-11,Bremen,0,684864
2020-10-11,Hamburg,5,1892122
2020-10-11,Hessen,5,6391360
2020-10-11,Mecklenburg-Vorpommern,5,1628378
2020-10-11,Niedersachsen,0,8140242
2020-10-11,Nordrhein-Westfalen,0,18139116
2020-10-11,Rheinland-Pfalz,0,4158150
2020-10-11,Saarland,0,992666
2020-10-11,Sachsen,0,4086152
2020-10-11,Sachsen-Anhalt,0,2186643
2020-10-11,Schleswig-Holstein,5,2953270
2020-10-11,Thüringen,0,2126836
2020-10-18,Baden-Württemberg,0,11280257
2020-10-18,Bayern,0,13369393
2020-10-18,Berlin,5,3755251
2020-10-18,Brandenburg,5,2573135
2020-10-18,Bremen,5,684864
